epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.785,1.6156,3.70148,1.6287,0.02264,0.60095,0.13199,0.07316,1.44577,3.75886,1.66493,0.00011535,0.00011535,0.00011535
2,63.2541,1.49509,3.27542,1.53036,0.02012,0.70351,0.21005,0.11687,1.4557,3.62924,1.59008,0.000230523,0.000230523,0.000230523
3,93.9873,1.55966,2.72871,1.57928,0.98512,0.08192,0.26016,0.15046,1.55269,3.29443,1.68329,0.000337576,0.000337576,0.000337576
4,124.131,1.54888,2.29859,1.56712,0.79249,0.26292,0.27174,0.15839,1.84723,3.03698,2.10038,0.000436507,0.000436507,0.000436507
5,155.54,1.52366,2.14248,1.55946,0.75467,0.28973,0.31654,0.15234,1.88842,3.0852,2.00559,0.000527319,0.000527319,0.000527319
6,202.066,1.47053,2.08916,1.54535,0.47065,0.35096,0.344,0.17556,1.66519,2.93772,1.95349,0.000610009,0.000610009,0.000610009
7,260.311,1.45665,1.88817,1.53558,0.48195,0.41134,0.39081,0.1898,1.74002,3.16029,2.06814,0.000616738,0.000616738,0.000616738
8,306.083,1.46864,1.90274,1.57661,0.65564,0.36436,0.40597,0.20569,1.72769,2.86463,1.99469,0.000591361,0.000591361,0.000591361
9,336.111,1.42519,1.78421,1.53046,0.80763,0.37785,0.4211,0.22117,1.71064,3.03062,1.91217,0.000565984,0.000565984,0.000565984
10,366.259,1.42295,1.73399,1.54885,0.57832,0.48421,0.45144,0.22387,1.67382,3.11996,1.90017,0.000540607,0.000540607,0.000540607
11,395.532,1.39596,1.6574,1.50816,0.57782,0.51242,0.47411,0.24813,1.64472,3.27822,1.89901,0.00051523,0.00051523,0.00051523
12,431.164,1.36924,1.53462,1.46071,0.59999,0.50219,0.49131,0.26903,1.58803,2.93299,1.83999,0.000489853,0.000489853,0.000489853
13,461.586,1.4138,1.55885,1.51268,0.64426,0.45795,0.45825,0.22614,1.7485,2.70814,1.93721,0.000464476,0.000464476,0.000464476
14,492.151,1.39017,1.53593,1.50188,0.56681,0.45723,0.48081,0.25989,1.7636,2.64998,1.91164,0.000439099,0.000439099,0.000439099
15,543.271,1.3469,1.54356,1.44233,0.56906,0.43068,0.45379,0.24948,1.74901,2.71357,1.88667,0.000413722,0.000413722,0.000413722
16,586.185,1.32084,1.52952,1.46726,0.60514,0.43023,0.47189,0.26309,1.71037,2.61601,1.83886,0.000388345,0.000388345,0.000388345
17,614.475,1.31786,1.47271,1.46629,0.73306,0.46655,0.5069,0.27634,1.66872,2.61378,1.85776,0.000362968,0.000362968,0.000362968
18,642.579,1.24304,1.47336,1.42255,0.79915,0.48454,0.55105,0.32193,1.62649,2.45684,1.87868,0.000337591,0.000337591,0.000337591
19,672.066,1.27647,1.38688,1.42699,0.84857,0.48326,0.56152,0.30627,1.53647,2.42049,1.81309,0.000312214,0.000312214,0.000312214
20,700.419,1.22682,1.32631,1.37275,0.75977,0.52827,0.5808,0.31407,1.56401,2.43711,1.82285,0.000286837,0.000286837,0.000286837
21,728.262,1.27672,1.61191,1.4402,0.74496,0.53208,0.57212,0.29979,1.60954,2.49578,1.90276,0.00026146,0.00026146,0.00026146
22,756.151,1.21945,1.50269,1.43893,0.71664,0.50473,0.52341,0.26715,1.68311,2.53459,1.98306,0.000236083,0.000236083,0.000236083
23,785.274,1.17512,1.48291,1.391,0.6379,0.52793,0.52678,0.2774,1.63177,2.64339,1.97744,0.000210706,0.000210706,0.000210706
24,825.656,1.17716,1.47619,1.38436,0.81233,0.47077,0.54652,0.28704,1.55399,2.55423,1.92907,0.000185329,0.000185329,0.000185329
25,871.358,1.17638,1.40286,1.37519,0.70898,0.52101,0.55572,0.30812,1.58476,2.53039,1.96434,0.000159952,0.000159952,0.000159952
26,928.284,1.17187,1.31578,1.35565,0.6568,0.52918,0.56971,0.32,1.59115,2.50151,1.94526,0.000134575,0.000134575,0.000134575
27,956.355,1.09849,1.31204,1.33005,0.75118,0.52717,0.5797,0.3279,1.54915,2.52678,1.91567,0.000109198,0.000109198,0.000109198
28,1008.48,1.11804,1.31934,1.35167,0.73131,0.53131,0.57438,0.32698,1.57652,2.50742,1.92639,8.3821e-05,8.3821e-05,8.3821e-05
29,1036.35,1.08749,1.31994,1.33877,0.82701,0.50009,0.57888,0.32468,1.56108,2.48596,1.89845,5.8444e-05,5.8444e-05,5.8444e-05
30,1064.63,1.09165,1.28319,1.33585,0.85315,0.50187,0.57827,0.33123,1.53892,2.46547,1.87593,3.3067e-05,3.3067e-05,3.3067e-05
